KCAT	Lupinus luteus	-999	more	*
KCAT	Trypanosoma brucei	0.11	fludarabine	*pH 7.6, 37&deg;C
KCAT	Anopheles gambiae	0.16	adenosine	*with ATP as cosubstrate, at 27&deg;C in 50 mM Tris buffer (pH 7.4) containing 5 mM MgCl2, 50 mM KCl, and 0.2 mM dithiothreitol
KCAT	Cricetulus griseus	0.16	viramidine	*recombinant enzyme, pH 7.3, 37&deg;C, phosphate buffered saline
KCAT	Homo sapiens	0.22	adenosine	*mutant K341A, pH 7.5, 37&deg;C
KCAT	Cricetulus griseus	0.26	viramidine	*recombinant enzyme, pH 9.0, 37&deg;C, phosphate buffered saline
KCAT	Anopheles gambiae	0.3	TTP	*at 27&deg;C in 50 mM Tris buffer (pH 7.4) containing 5 mM MgCl2, 50 mM KCl, and 0.2 mM dithiothreitol
KCAT	Cricetulus griseus	0.33	adenosine	*recombinant enzyme, pH 7.2, 37&deg;C, in presence of 20 mM phosphoribosyl diphosphate
KCAT	Anopheles gambiae	0.33	ATP	*at 27&deg;C in 50 mM Tris buffer (pH 7.4) containing 5 mM MgCl2, 50 mM KCl, and 0.2 mM dithiothreitol
KCAT	Homo sapiens	0.35	adenosine	*mutant H107A, pH 7.5, 37&deg;C
KCAT	Cricetulus griseus	0.4	adenosine	*recombinant enzyme, pH 7.2, 37&deg;C, in presence of 20 mM phosphoenolpyruvate
KCAT	Homo sapiens	0.5	adenosine	*at pH 7.5 and 37&deg;C
KCAT	Homo sapiens	0.5	adenosine	*wild-type, pH 7.5, 37&deg;C
KCAT	Saccharomyces cerevisiae	0.5	guanosine	*51fold reduction
KCAT	Saccharomyces cerevisiae	0.583	Inosine	*44fold reduction
KCAT	Cricetulus griseus	0.59	adenosine	*recombinant enzyme, pH 7.2, 37&deg;C, in presence of 20 mM creatine phosphate
KCAT	Cricetulus griseus	0.62	ribavirin	*recombinant enzyme, pH 7.3, 37&deg;C, 0.1 M HEPES buffer
KCAT	Anopheles gambiae	0.63	adenosine	*with GTP as cosubstrate, at 27&deg;C in 50 mM Tris buffer (pH 7.4) containing 5 mM MgCl2, 50 mM KCl, and 0.2 mM dithiothreitol
KCAT	Leishmania donovani	0.733	adenosine	*mutant enzyme R131A
KCAT	Leishmania donovani	0.733	ATP	*mutant enzyme R131A
KCAT	Cricetulus griseus	0.97	adenosine	*recombinant enzyme, pH 7.2, 37&deg;C, in presence of 10 mM phosphate
KCAT	Saccharomyces cerevisiae	1	2'-deoxyadenosine	*25fold reduction
KCAT	Saccharomyces cerevisiae	1.02	cytidine	*25fold reduction
KCAT	Trypanosoma brucei	1.1	Inosine	*pH 7.6, 37&deg;C
KCAT	Leishmania donovani	1.2	ATP	*pH 7.5, 30&deg;C, recombinant wild-type enzyme
KCAT	Anopheles gambiae	1.39	GTP	*at 27&deg;C in 50 mM Tris buffer (pH 7.4) containing 5 mM MgCl2, 50 mM KCl, and 0.2 mM dithiothreitol
KCAT	Leishmania donovani	1.4	adenosine	*pH 7.5, 30&deg;C, recombinant wild-type enzyme
KCAT	Saccharomyces cerevisiae	1.67	uridine	*15fold reduction
KCAT	Cricetulus griseus	1.8	ribavirin	*recombinant enzyme, pH 7.3, 37&deg;C, phosphate buffered saline
KCAT	Cryptosporidium parvum	2.6	ATP	*37&deg;C, pH 8.0
KCAT	Trypanosoma brucei	3.9	cordycepin	*pH 7.6, 37&deg;C
KCAT	Trypanosoma brucei	4.2	deoxyadenosine	*pH 7.6, 37&deg;C
KCAT	Leishmania donovani	5.1	adenosine	*mutant enzyme D16V
KCAT	Leishmania donovani	5.1	ATP	*mutant enzyme D16V
KCAT	Leishmania donovani	5.2	adenosine	*mutant enzyme D16N
KCAT	Leishmania donovani	5.2	ATP	*mutant enzyme D16N
KCAT	Leishmania donovani	5.25	2'-deoxyadenosine	*wild-type enzyme
KCAT	Leishmania donovani	6.7	3'-deoxyadenosine	*wild-type enzyme
KCAT	Trypanosoma brucei	7.3	ATP	*pH 7.6, 37&deg;C
KCAT	Trypanosoma brucei	8.1	adenosine	*pH 7.6, 37&deg;C
KCAT	Cricetulus griseus	13	adenosine	*recombinant enzyme, pH 7.3, 37&deg;C, phosphate buffered saline
KCAT	Trypanosoma brucei	16	GTP	*pH 7.6, 37&deg;C
KCAT	Leishmania donovani	18	adenosine	*wild-type enzyme
KCAT	Leishmania donovani	18	ATP	*wild-type enzyme
KCAT	Trypanosoma brucei	18	UTP	*pH 7.6, 37&deg;C
KCAT	Trypanosoma brucei	20	CTP	*pH 7.6, 37&deg;C
KCAT	Leishmania donovani	24	adenosine	*formycin A
KCAT	Leishmania donovani	24.15	adenosine	*wild-type enzyme
KCAT	Leishmania donovani	24.15	ATP	*wild-type enzyme
KCAT	Saccharomyces cerevisiae	25.5	adenosine	*
