KCAT	Cellulomonas fimi	-999	more	*as the enzyme is inhibited by the substrate p-nitrophenyl-beta-mannoside at concentrations above 0.4 mM, the turnover number of 167 per s is only an estimate
KCAT	Pyrococcus horikoshii	25.5	4-nitrophenyl beta-D-glucopyranoside	*pH 5.0, 90&deg;C, mutant enzyme Q77R
KCAT	Bacteroides thetaiotaomicron	26.85	p-nitrophenyl-beta-D-mannopyranoside	*mutant enzyme Y537A, at 37&deg;C in 43.5 mM sodium phosphate, 10 mM citric acid buffer, pH 5.6, containing 1 mg/ml bovine serum albumin
KCAT	Pyrococcus horikoshii	34.4	4-nitrophenyl beta-D-glucopyranoside	*pH 5.0, 90&deg;C, wild-type enzyme
KCAT	Bacteroides thetaiotaomicron	34.43	p-nitrophenyl-beta-D-mannopyranoside	*mutant enzyme Q646A, at 37&deg;C in 43.5 mM sodium phosphate, 10 mM citric acid buffer, pH 5.6, containing 1 mg/ml bovine serum albumin
KCAT	Pyrococcus horikoshii	45	4-nitrophenyl beta-D-mannopyranoside	*pH 5.0, 90&deg;C, mutant enzyme D206N
KCAT	Thermococcus kodakarensis	50.99	4-nitrophenyl beta-D-mannopyranoside	*80&deg;C, pH is not specified in the publication, wild-type
KCAT	Pyrococcus horikoshii	66.5	4-nitrophenyl beta-D-galactopyranoside	*pH 5.0, 90&deg;C, mutant enzyme Q77R/D206N
KCAT	Thermotoga neapolitana	67.8	p-nitrophenyl beta-D-mannopyranoside	*
KCAT	Bacteroides thetaiotaomicron	128.1	p-nitrophenyl-beta-D-mannopyranoside	*wild type enzyme, at 37&deg;C in 43.5 mM sodium phosphate, 10 mM citric acid buffer, pH 5.6, containing 1 mg/ml bovine serum albumin
KCAT	Bacteroides thetaiotaomicron	157	p-nitrophenyl-beta-D-mannopyranoside	*wild type enzyme, at 37&deg;C in 43.5 mM sodium phosphate, 10 mM citric acid buffer, pH 5.6, containing 1 mg/ml bovine serum albumin
KCAT	Cellvibrio mixtus	166.7	Mannotriose	*pH 7.0, 37&deg;C, wild-type enzyme
KCAT	Bacteroides thetaiotaomicron	214.4	2,4-dinitrophenyl-beta-D-mannopyranoside	*wild type enzyme, at 37&deg;C in 43.5 mM sodium phosphate, 10 mM citric acid buffer, pH 5.6, containing 1 mg/ml bovine serum albumin
KCAT	Thermococcus kodakarensis	227.64	4-nitrophenyl beta-D-glucopyranoside	*80&deg;C, pH is not specified in the publication, wild-type
KCAT	Pyrococcus horikoshii	252	4-nitrophenyl beta-D-glucopyranoside	*pH 5.0, 90&deg;C, mutant enzyme D206N
KCAT	Thermococcus kodakarensis	322.25	4-nitrophenyl beta-D-fucopyranoside	*80&deg;C, pH is not specified in the publication, wild-type
KCAT	Thermococcus kodakarensis	323.41	4-nitrophenyl beta-D-fucopyranoside	*80&deg;C, pH is not specified in the publication, mutant enzyme D206N
KCAT	Thermococcus kodakarensis	349.62	4-nitrophenyl beta-D-glucopyranoside	*80&deg;C, pH is not specified in the publication, mutant enzyme D206N
KCAT	Pyrococcus horikoshii	439	4-nitrophenyl beta-D-glucopyranoside	*pH 5.0, 90&deg;C, mutant enzyme Q77R/D206N
KCAT	Pyrococcus horikoshii	571	4-nitrophenyl beta-D-galactopyranoside	*pH 5.0, 90&deg;C, mutant enzyme D206N
